Key,Context,en-US,pt-BR
assessmentMatrix.dashboard.loadingTeamData,assessmentMatrix.dashboard,Loading team data...,Carregando dados das equipes...
assessmentMatrix.dashboard.noTeamData,assessmentMatrix.dashboard,No team data available,Nenhum dado de equipe disponível
assessmentMatrix.dashboard.refresh,assessmentMatrix.dashboard,Refresh,Atualizar
assessmentMatrix.dashboard.refreshTitle,assessmentMatrix.dashboard,Refresh dashboard data,Atualizar dados do dashboard
assessmentMatrix.dashboard.refreshing,assessmentMatrix.dashboard,Refreshing...,Atualizando...
assessmentMatrix.dashboard.remaining,assessmentMatrix.dashboard,Remaining: {{percentage}}%,Restante: {{percentage}}%
assessmentMatrix.dashboard.teams,assessmentMatrix.dashboard,Teams,Equipes
assessmentMatrix.dashboard.title,assessmentMatrix.dashboard,Assessment Dashboard,Dashboard de Avaliação
assessmentMatrix.dashboard.totalEmployees,assessmentMatrix.dashboard,Total Employees,Total de Funcionários
assessmentMatrix.dashboard.withAssignedEmployees,assessmentMatrix.dashboard,With assigned employees,Com funcionários atribuídos
assessmentMatrix.employeeStatus.columns.employee,assessmentMatrix.employeeStatus.columns,Employee,Funcionário
assessmentMatrix.employeeStatus.columns.lastActivity,assessmentMatrix.employeeStatus.columns,Last Activity,Última Atividade
assessmentMatrix.employeeStatus.columns.progress,assessmentMatrix.employeeStatus.columns,Progress,Progresso
assessmentMatrix.employeeStatus.columns.status,assessmentMatrix.employeeStatus.columns,Status,Status
assessmentMatrix.employeeStatus.lastActivity.dayAgo,assessmentMatrix.employeeStatus.lastActivity,1 day ago,1 dia atrás
assessmentMatrix.employeeStatus.lastActivity.daysAgo,assessmentMatrix.employeeStatus.lastActivity,{{days}} days ago,{{days}} dias atrás
assessmentMatrix.employeeStatus.lastActivity.hoursAgo,assessmentMatrix.employeeStatus.lastActivity,"{{hours}} hour{{hours, plural, one {} other {s}}} ago","{{hours}} hora{{hours, plural, one {} other {s}}} atrás"
assessmentMatrix.employeeStatus.lastActivity.lessThanHour,assessmentMatrix.employeeStatus.lastActivity,Less than 1 hour ago,Menos de 1 hora atrás
assessmentMatrix.employeeStatus.lastActivity.never,assessmentMatrix.employeeStatus.lastActivity,Never,Nunca
assessmentMatrix.employeeStatus.lastActivity.unknown,assessmentMatrix.employeeStatus.lastActivity,Unknown,Desconhecido
assessmentMatrix.employeeStatus.loadingData,assessmentMatrix.employeeStatus,Loading employee data...,Carregando dados dos funcionários...
assessmentMatrix.employeeStatus.noEmployees,assessmentMatrix.employeeStatus,No employees found for {{teamName}} team,Nenhum funcionário encontrado para a equipe {{teamName}}
assessmentMatrix.employeeStatus.pagination.showing,assessmentMatrix.employeeStatus.pagination,Showing {{startIndex}} to {{endIndex}} of {{totalCount}} employees,Mostrando {{startIndex}} a {{endIndex}} de {{totalCount}} funcionários
assessmentMatrix.employeeStatus.questionsAnswered,assessmentMatrix.employeeStatus,"{{count}} question{{count, plural, one {} other {s}}} answered","{{count}} pergunta{{count, plural, one {} other {s}}} respondida{{count, plural, one {} other {s}}}"
assessmentMatrix.employeeStatus.refresh,assessmentMatrix.employeeStatus,Refresh,Atualizar
assessmentMatrix.employeeStatus.refreshTitle,assessmentMatrix.employeeStatus,Refresh employee data,Atualizar dados dos funcionários
assessmentMatrix.employeeStatus.refreshing,assessmentMatrix.employeeStatus,Refreshing...,Atualizando...
assessmentMatrix.employeeStatus.title,assessmentMatrix.employeeStatus,Employee Status Details - {{teamName}} Team,Detalhes do Status dos Funcionários - Equipe {{teamName}}
assessmentMatrix.errors.dashboardLoadFailed,assessmentMatrix.errors,Failed to load dashboard data. Please try again.,"Falha ao carregar dados do dashboard. Por favor, tente novamente."
assessmentMatrix.errors.deleteFailed,assessmentMatrix.errors,Failed to delete assessment matrix. Please try again.,"Falha ao excluir matriz de avaliação. Por favor, tente novamente."
assessmentMatrix.errors.loadFailed,assessmentMatrix.errors,Failed to load assessment matrices. Please try again.,"Falha ao carregar matrizes de avaliação. Por favor, tente novamente."
assessmentMatrix.filters.allCycles,assessmentMatrix.filters,All Performance Cycles,Todos os Ciclos de Performance
assessmentMatrix.form.buttons.addCategory,assessmentMatrix.form.buttons,Add Category,Adicionar Categoria
assessmentMatrix.form.buttons.addPillar,assessmentMatrix.form.buttons,Add Pillar,Adicionar Pilar
assessmentMatrix.form.buttons.deleteCategory,assessmentMatrix.form.buttons,Delete Category,Excluir Categoria
assessmentMatrix.form.buttons.save,assessmentMatrix.form.buttons,Save,Salvar
assessmentMatrix.form.buttons.saving,assessmentMatrix.form.buttons,Saving...,Salvando...
assessmentMatrix.form.createTitle,assessmentMatrix.form,Create New Assessment Matrix,Criar Nova Matriz de Avaliação
assessmentMatrix.form.dialogs.deleteCategory.message,assessmentMatrix.form.dialogs.deleteCategory,"Are you sure you want to delete the category ""{{categoryName}}""?","Tem certeza que deseja excluir a categoria ""{{categoryName}}""?"
assessmentMatrix.form.dialogs.deleteCategory.title,assessmentMatrix.form.dialogs.deleteCategory,Delete Category,Excluir Categoria
assessmentMatrix.form.dialogs.deletePillar.message,assessmentMatrix.form.dialogs.deletePillar,"Are you sure you want to delete the pillar ""{{pillarName}}"" and all its categories?","Tem certeza que deseja excluir o pilar ""{{pillarName}}"" e todas as suas categorias?"
assessmentMatrix.form.dialogs.deletePillar.title,assessmentMatrix.form.dialogs.deletePillar,Delete Pillar,Excluir Pilar
assessmentMatrix.form.editTitle,assessmentMatrix.form,Edit Assessment Matrix,Editar Matriz de Avaliação
assessmentMatrix.form.fields.description,assessmentMatrix.form.fields,Description,Descrição
assessmentMatrix.form.fields.name,assessmentMatrix.form.fields,Name,Nome
assessmentMatrix.form.fields.performanceCycle,assessmentMatrix.form.fields,Performance Cycle,Ciclo de Performance
assessmentMatrix.form.help.preselectedFromFilter,assessmentMatrix.form.help,Pre-selected from filter,Pré-selecionado do filtro
assessmentMatrix.form.placeholders.categoryDescription,assessmentMatrix.form.placeholders,Category Description (optional),Descrição da Categoria (opcional)
assessmentMatrix.form.placeholders.categoryName,assessmentMatrix.form.placeholders,Category Name,Nome da Categoria
assessmentMatrix.form.placeholders.pillarDescription,assessmentMatrix.form.placeholders,Pillar Description (optional),Descrição do Pilar (opcional)
assessmentMatrix.form.placeholders.pillarName,assessmentMatrix.form.placeholders,Pillar Name,Nome do Pilar
assessmentMatrix.form.placeholders.selectPerformanceCycle,assessmentMatrix.form.placeholders,Select Performance Cycle,Selecionar Ciclo de Performance
assessmentMatrix.form.sections.categories,assessmentMatrix.form.sections,Categories,Categorias
assessmentMatrix.form.sections.pillarsAndCategories,assessmentMatrix.form.sections,Pillars and Categories,Pilares e Categorias
assessmentMatrix.form.validation.categoryNameRequired,assessmentMatrix.form.validation,Category name is required,O nome da categoria é obrigatório
assessmentMatrix.form.validation.pillarNameRequired,assessmentMatrix.form.validation,Pillar name is required,O nome do pilar é obrigatório
assessmentMatrix.form.validation.pillarNeedsCategory,assessmentMatrix.form.validation,Each pillar must have at least one category,Cada pilar deve ter pelo menos uma categoria
assessmentMatrix.messages.noMatricesFound,assessmentMatrix.messages,No assessment matrices found,Nenhuma matriz de avaliação encontrada
assessmentMatrix.messages.noPillarsDefined,assessmentMatrix.messages,No pillars defined,Nenhum pilar definido
assessmentMatrix.plural,assessmentMatrix,Assessment Matrices,Matrizes de Avaliação
assessmentMatrix.search.placeholder,assessmentMatrix.search,Search Assessment Matrices...,Buscar Matrizes de Avaliação...
assessmentMatrix.singular,assessmentMatrix,Assessment Matrix,Matriz de Avaliação
assessmentMatrix.structure.categories,assessmentMatrix.structure,Categories,Categorias
assessmentMatrix.structure.categoriesCount,assessmentMatrix.structure,"{{count}} categor{{count, plural, one {y} other {ies}}}","{{count}} categoria{{count, plural, one {} other {s}}}"
assessmentMatrix.structure.noCategoriesMessage,assessmentMatrix.structure,No categories defined,Nenhuma categoria definida
assessmentMatrix.structure.noPillarsMessage,assessmentMatrix.structure,This matrix doesn't have any pillars defined yet. Use the edit form to add pillars and categories.,Esta matriz ainda não possui pilares definidos. Use o formulário de edição para adicionar pilares e categorias.
assessmentMatrix.structure.pillars,assessmentMatrix.structure,Pillars,Pilares
assessmentMatrix.structure.summary,assessmentMatrix.structure,"{{pillarCount}} pillar{{pillarCount, plural, one {} other {s}}}, {{categoryCount}} categor{{categoryCount, plural, one {y} other {ies}}}","{{pillarCount}} pilar{{pillarCount, plural, one {} other {es}}}, {{categoryCount}} categoria{{categoryCount, plural, one {} other {s}}}"
assessmentMatrix.structure.title,assessmentMatrix.structure,Matrix Structure,Estrutura da Matriz
assessmentMatrix.title,assessmentMatrix,Assessment Matrices,Matrizes de Avaliação
common.actions.add,common.actions,Add,Adicionar
common.actions.addNew,common.actions,Add New,Adicionar Novo
common.actions.back,common.actions,Back,Voltar
common.actions.cancel,common.actions,Cancel,Cancelar
common.actions.clear,common.actions,Clear,Limpar
common.actions.close,common.actions,Close,Fechar
common.actions.confirm,common.actions,Confirm,Confirmar
common.actions.copy,common.actions,Copy,Copiar
common.actions.delete,common.actions,Delete,Excluir
common.actions.edit,common.actions,Edit,Editar
common.actions.next,common.actions,Next,Próximo
common.actions.previous,common.actions,Previous,Anterior
common.actions.save,common.actions,Save,Salvar
common.actions.search,common.actions,Search,Buscar
common.labels.actions,common.labels,Options,Opções
common.labels.list,common.labels,List,Lista de
common.messages.confirmDelete,common.messages,Are you sure you want to delete this item?,Tem certeza que deseja excluir este item?
common.messages.deleteSuccess,common.messages,Item deleted successfully,Item excluído com sucesso
common.messages.errorOccurred,common.messages,An error occurred,Ocorreu um erro
common.messages.saveSuccess,common.messages,Item saved successfully,Item salvo com sucesso
common.pagination.next,common.pagination,Next,Próximo
common.pagination.previous,common.pagination,Previous,Anterior
common.status.deleting,common.status,Deleting...,Excluindo...
common.status.error,common.status,Error,Erro
common.status.loading,common.status,Loading...,Carregando...
common.status.saving,common.status,Saving...,Salvando...
common.status.success,common.status,Success,Sucesso
company.columns.city,company.columns,City,Cidade
company.columns.created,company.columns,Created,Criado em
company.columns.document,company.columns,Document,Documento
company.columns.email,company.columns,Email,E-mail
company.columns.industry,company.columns,Industry,Setor
company.columns.name,company.columns,Company Name,Nome da Empresa
company.columns.size,company.columns,Size,Porte
company.columns.website,company.columns,Website,Website
company.form.buttons.cancel,company.form.buttons,Cancel,Cancelar
company.form.buttons.create,company.form.buttons,Create Company,Criar Empresa
company.form.buttons.creating,company.form.buttons,Creating...,Criando...
company.form.buttons.regenerateTenantId,company.form.buttons,Generate new Tenant ID based on company name,Gerar novo ID de Inquilino baseado no nome da empresa
company.form.buttons.update,company.form.buttons,Update Company,Atualizar Empresa
company.form.buttons.updating,company.form.buttons,Updating...,Atualizando...
company.form.errors.generic,company.form.errors,An error occurred. Please try again.,"Ocorreu um erro. Por favor, tente novamente."
company.form.fields.city,company.form.fields,City,Cidade
company.form.fields.cnpj,company.form.fields,CNPJ,CNPJ
company.form.fields.companyEmail,company.form.fields,Company Email,E-mail da Empresa
company.form.fields.companyName,company.form.fields,Company Name,Nome da Empresa
company.form.fields.companyPhone,company.form.fields,Company Phone,Telefone da Empresa
company.form.fields.companySize,company.form.fields,Company Size,Porte da Empresa
company.form.fields.country,company.form.fields,Country,País
company.form.fields.cpf,company.form.fields,CPF,CPF
company.form.fields.description,company.form.fields,Description,Descrição
company.form.fields.email,company.form.fields,Email,E-mail
company.form.fields.gender,company.form.fields,Gender,Gênero
company.form.fields.industry,company.form.fields,Industry,Setor
company.form.fields.legalName,company.form.fields,Legal Name,Razão Social
company.form.fields.name,company.form.fields,Name,Nome
company.form.fields.phone,company.form.fields,Phone,Telefone
company.form.fields.pronouns,company.form.fields,Pronouns,Pronomes
company.form.fields.state,company.form.fields,State,Estado
company.form.fields.street,company.form.fields,Street,Rua
company.form.fields.tenantId,company.form.fields,Tenant ID,ID do Tenant
company.form.fields.website,company.form.fields,Website,Website
company.form.fields.zipCode,company.form.fields,ZIP Code,CEP
company.form.help.tenantIdCannotChange,company.form.help,Tenant ID cannot be changed after company creation,ID do Inquilino não pode ser alterado após a criação da empresa
company.form.help.tenantIdFormat,company.form.help,"Format: lowercase letters, numbers, and hyphens only","Formato: apenas letras minúsculas, números e hífens"
company.form.placeholders.cnpj,company.form.placeholders,00.000.000/0000-00,00.000.000/0000-00
company.form.placeholders.cpf,company.form.placeholders,000.000.000-00,000.000.000-00
company.form.placeholders.description,company.form.placeholders,Brief description of the company and its activities,Breve descrição da empresa e suas atividades
company.form.placeholders.email,company.form.placeholders,company@example.com,empresa@exemplo.com
company.form.placeholders.legalName,company.form.placeholders,Legal company name (if different from display name),Razão social (se diferente do nome de exibição)
company.form.placeholders.phone,company.form.placeholders,+55 11 1234-5678,+55 11 1234-5678
company.form.placeholders.phoneContact,company.form.placeholders,+55 11 98765-4321,+55 11 98765-4321
company.form.placeholders.selectGender,company.form.placeholders,Select gender...,Selecione o gênero...
company.form.placeholders.selectIndustry,company.form.placeholders,Select an industry...,Selecione um setor...
company.form.placeholders.selectPronouns,company.form.placeholders,Select pronouns...,Selecione os pronomes...
company.form.placeholders.selectSize,company.form.placeholders,Select a size...,Selecione um porte...
company.form.placeholders.state,company.form.placeholders,SP,SP
company.form.placeholders.street,company.form.placeholders,Street name and number,Nome da rua e número
company.form.placeholders.tenantId,company.form.placeholders,acme-corporation-x7k2m,acme-corporation-x7k2m
company.form.placeholders.website,company.form.placeholders,https://www.company.com,https://www.empresa.com
company.form.placeholders.zipCode,company.form.placeholders,00000-000,00000-000
company.form.sections.address,company.form.sections,Address,Endereço
company.form.sections.basicInfo,company.form.sections,Basic Information,Informações Básicas
company.form.sections.contactInfo,company.form.sections,Contact Information,Informações de Contato
company.form.sections.contactPerson,company.form.sections,Contact Person,Pessoa de Contato
company.form.validation.cnpjInvalid,company.form.validation,Invalid CNPJ format (XX.XXX.XXX/XXXX-XX or 14 digits),Formato de CNPJ inválido (XX.XXX.XXX/XXXX-XX ou 14 dígitos)
company.form.validation.cnpjRequired,company.form.validation,CNPJ is required,CNPJ é obrigatório
company.form.validation.companyNameRequired,company.form.validation,Company name is required,Nome da empresa é obrigatório
company.form.validation.contactCpfRequired,company.form.validation,Contact person CPF is required,CPF da pessoa de contato é obrigatório
company.form.validation.contactEmailRequired,company.form.validation,Contact person email is required,E-mail da pessoa de contato é obrigatório
company.form.validation.contactNameRequired,company.form.validation,Contact person name is required,Nome da pessoa de contato é obrigatório
company.form.validation.cpfInvalid,company.form.validation,Invalid CPF format (XXX.XXX.XXX-XX or 11 digits),Formato de CPF inválido (XXX.XXX.XXX-XX ou 11 dígitos)
company.form.validation.descriptionMinLength,company.form.validation,Description must be at least 10 characters,Descrição deve ter pelo menos 10 caracteres
company.form.validation.descriptionRequired,company.form.validation,Company description is required,Descrição da empresa é obrigatória
company.form.validation.emailInvalid,company.form.validation,Invalid email address,Endereço de e-mail inválido
company.form.validation.emailRequired,company.form.validation,Email is required,E-mail é obrigatório
company.form.validation.industryRequired,company.form.validation,Industry is required,Setor é obrigatório
company.form.validation.nameMinLength,company.form.validation,Name must be at least 3 characters,Nome deve ter pelo menos 3 caracteres
company.form.validation.phoneInvalid,company.form.validation,Invalid phone number format,Formato de telefone inválido
company.form.validation.required,company.form.validation,is required,é obrigatório
company.form.validation.sizeRequired,company.form.validation,Company size is required,Porte da empresa é obrigatório
company.form.validation.tenantIdConsecutiveHyphens,company.form.validation,Tenant ID cannot contain consecutive hyphens,ID do Tenant não pode conter hífens consecutivos
company.form.validation.tenantIdInvalidChars,company.form.validation,"Tenant ID must contain only lowercase letters, numbers, and hyphens","ID do Tenant deve conter apenas letras minúsculas, números e hífens"
company.form.validation.tenantIdInvalidHyphenEnd,company.form.validation,Tenant ID cannot end with a hyphen,ID do Tenant não pode terminar com hífen
company.form.validation.tenantIdInvalidHyphenStart,company.form.validation,Tenant ID cannot start with a hyphen,ID do Tenant não pode começar com hífen
company.form.validation.tenantIdMinLength,company.form.validation,Tenant ID must be at least 9 characters,ID do Tenant deve ter pelo menos 9 caracteres
company.form.validation.tenantIdPattern,company.form.validation,Tenant ID must be lowercase alphanumeric with hyphens only,"ID do Tenant deve conter apenas letras minúsculas, números e hífens"
company.form.validation.tenantIdRequired,company.form.validation,Tenant ID is required,ID do Tenant é obrigatório
company.form.validation.tenantIdTooShort,company.form.validation,Tenant ID must be at least 9 characters long,ID do Tenant deve ter pelo menos 9 caracteres
company.form.validation.urlInvalid,company.form.validation,Invalid URL format,Formato de URL inválido
company.form.validation.zipCodeInvalid,company.form.validation,Invalid ZIP code format (XXXXX-XXX),Formato de CEP inválido (XXXXX-XXX)
company.plural,company,Companies,Empresas
company.singular,company,Company,Empresa
company.title,company,Company Management,Gerenciamento de Empresas
dashboard.buttons.retry,dashboard.buttons,Retry,Tentar Novamente
dashboard.buttons.viewTeamAnalytics,dashboard.buttons,View Team Analytics,Ver Análises da Equipe
dashboard.dates.endDate,dashboard.dates,End Date,Data de Término
dashboard.dates.notSet,dashboard.dates,Not set,Não definido
dashboard.dates.startDate,dashboard.dates,Start Date,Data de Início
